Machinename quartz Date 2019-08-02 15:06:37.213476 Discretization Type sdm_ld fem_unlump Parallel run F,,,,,,,,,,,,,,,,,,
Nx,Ny,Nz,Nm,Ng,Np,Px,Py,Pz,Ax,Ay,Az,Ami,Ag,Scattering Moments,Overall Time,Sweep Time,Grind Time,Over All Memory
8,8,8,168,1,1,1,1,1,2,1,1,21,1,1,0.48,0.334,97.074963,30
8,8,8,168,1,1,1,1,1,2,1,2,1,1,1,2.47,2.24,651.041667,111
8,8,8,168,1,1,1,1,1,2,1,2,3,1,1,0.992,0.825,239.780971,49
8,8,8,168,1,1,1,1,1,2,1,2,7,1,1,0.643,0.491,142.706008,35
8,8,8,168,1,1,1,1,1,2,1,2,21,1,1,0.539,0.351,102.015904,27
8,8,8,168,1,1,1,1,1,2,1,4,1,1,1,2.04,1.81,526.064918,81
8,8,8,168,1,1,1,1,1,2,1,4,3,1,1,0.892,0.727,211.297898,41
8,8,8,168,1,1,1,1,1,2,1,4,7,1,1,0.597,0.447,129.91769,31
8,8,8,168,1,1,1,1,1,2,1,4,21,1,1,0.447,0.302,87.774368,26
8,8,8,168,1,1,1,1,1,2,1,8,1,1,1,1.84,1.62,470.842634,65
8,8,8,168,1,1,1,1,1,2,1,8,3,1,1,0.859,0.693,201.416016,36
8,8,8,168,1,1,1,1,1,2,1,8,7,1,1,0.579,0.43,124.976749,29
8,8,8,168,1,1,1,1,1,2,1,8,21,1,1,0.44,0.297,86.32115,25
8,8,8,168,1,1,1,1,1,2,2,1,1,1,1,2.53,2.3,668.480283,111
8,8,8,168,1,1,1,1,1,2,2,1,3,1,1,1.03,0.862,250.534784,49
8,8,8,168,1,1,1,1,1,2,2,1,7,1,1,0.644,0.495,143.868583,35
8,8,8,168,1,1,1,1,1,2,2,1,21,1,1,0.46,0.319,92.715309,27
8,8,8,168,1,1,1,1,1,2,2,2,1,1,1,2,1.78,517.34561,79
8,8,8,168,1,1,1,1,1,2,2,2,3,1,1,0.88,0.715,207.810175,40
8,8,8,168,1,1,1,1,1,2,2,2,7,1,1,0.598,0.447,129.91769,30
8,8,8,168,1,1,1,1,1,2,2,2,21,1,1,0.438,0.297,86.32115,25
8,8,8,168,1,1,1,1,1,2,2,4,1,1,1,1.79,1.57,456.310454,63
8,8,8,168,1,1,1,1,1,2,2,4,3,1,1,0.843,0.679,197.347005,36
8,8,8,168,1,1,1,1,1,2,2,4,7,1,1,0.573,0.425,123.523531,28
8,8,8,168,1,1,1,1,1,2,2,4,21,1,1,0.435,0.294,85.449219,25
8,8,8,168,1,1,1,1,1,2,2,8,1,1,1,1.73,1.51,438.871838,55
8,8,8,168,1,1,1,1,1,2,2,8,3,1,1,0.971,0.785,228.155227,33
8,8,8,168,1,1,1,1,1,2,2,8,7,1,1,0.58,0.428,124.395461,27
8,8,8,168,1,1,1,1,1,2,2,8,21,1,1,0.432,0.291,84.577288,24
8,8,8,168,1,1,1,1,1,2,4,1,1,1,1,2.11,1.88,546.40997,81
8,8,8,168,1,1,1,1,1,2,4,1,3,1,1,0.91,0.744,216.238839,41
8,8,8,168,1,1,1,1,1,2,4,1,7,1,1,0.606,0.457,132.824126,31
8,8,8,168,1,1,1,1,1,2,4,1,21,1,1,0.446,0.305,88.646298,26
8,8,8,168,1,1,1,1,1,2,4,2,1,1,1,1.83,1.61,467.936198,63
8,8,8,168,1,1,1,1,1,2,4,2,3,1,1,0.852,0.687,199.672154,36
8,8,8,168,1,1,1,1,1,2,4,2,7,1,1,0.574,0.426,123.814174,28
8,8,8,168,1,1,1,1,1,2,4,2,21,1,1,0.437,0.296,86.030506,25
8,8,8,168,1,1,1,1,1,2,4,4,1,1,1,1.75,1.52,441.778274,54
8,8,8,168,1,1,1,1,1,2,4,4,3,1,1,0.828,0.662,192.406064,33
8,8,8,168,1,1,1,1,1,2,4,4,7,1,1,0.564,0.414,120.326451,27
8,8,8,168,1,1,1,1,1,2,4,4,21,1,1,0.432,0.291,84.577288,24
8,8,8,168,1,1,1,1,1,2,4,8,1,1,1,1.72,1.48,430.15253,50
8,8,8,168,1,1,1,1,1,2,4,8,3,1,1,0.805,0.637,185.139974,32
8,8,8,168,1,1,1,1,1,2,4,8,7,1,1,0.556,0.406,118.001302,27
8,8,8,168,1,1,1,1,1,2,4,8,21,1,1,0.426,0.285,82.833426,24
8,8,8,168,1,1,1,1,1,2,8,1,1,1,1,1.89,1.67,485.374814,65
8,8,8,168,1,1,1,1,1,2,8,1,3,1,1,0.869,0.706,205.194382,36
8,8,8,168,1,1,1,1,1,2,8,1,7,1,1,0.585,0.437,127.011254,29
8,8,8,168,1,1,1,1,1,2,8,1,21,1,1,0.44,0.298,86.611793,25
8,8,8,168,1,1,1,1,1,2,8,2,1,1,1,1.75,1.53,444.68471,55
8,8,8,168,1,1,1,1,1,2,8,2,3,1,1,0.833,0.666,193.568638,33
8,8,8,168,1,1,1,1,1,2,8,2,7,1,1,0.564,0.415,120.617094,27
8,8,8,168,1,1,1,1,1,2,8,2,21,1,1,0.434,0.293,85.158575,24
8,8,8,168,1,1,1,1,1,2,8,4,1,1,1,1.72,1.47,427.246094,50
8,8,8,168,1,1,1,1,1,2,8,4,3,1,1,0.81,0.64,186.011905,32
8,8,8,168,1,1,1,1,1,2,8,4,7,1,1,0.556,0.404,117.420015,27
8,8,8,168,1,1,1,1,1,2,8,4,21,1,1,0.428,0.287,83.414714,24
8,8,8,168,1,1,1,1,1,2,8,8,1,1,1,1.65,1.4,406.901042,48
8,8,8,168,1,1,1,1,1,2,8,8,3,1,1,0.799,0.627,182.233538,31
8,8,8,168,1,1,1,1,1,2,8,8,7,1,1,0.555,0.401,116.548084,26
8,8,8,168,1,1,1,1,1,2,8,8,21,1,1,0.426,0.283,82.252139,24
8,8,8,168,1,1,1,1,1,4,1,1,1,1,1,2.45,2.22,645.228795,113
8,8,8,168,1,1,1,1,1,4,1,1,3,1,1,0.981,0.816,237.165179,50
8,8,8,168,1,1,1,1,1,4,1,1,7,1,1,0.64,0.487,141.543434,35
8,8,8,168,1,1,1,1,1,4,1,1,21,1,1,0.456,0.313,90.971447,27
8,8,8,168,1,1,1,1,1,4,1,2,1,1,1,2.14,1.91,555.129278,81
8,8,8,168,1,1,1,1,1,4,1,2,3,1,1,0.899,0.735,213.623047,41
8,8,8,168,1,1,1,1,1,4,1,2,7,1,1,0.605,0.453,131.661551,31
8,8,8,168,1,1,1,1,1,4,1,2,21,1,1,0.446,0.301,87.483724,26
8,8,8,168,1,1,1,1,1,4,1,4,1,1,1,1.86,1.64,476.655506,64
8,8,8,168,1,1,1,1,1,4,1,4,3,1,1,0.868,0.703,204.322452,36
8,8,8,168,1,1,1,1,1,4,1,4,7,1,1,0.585,0.435,126.429967,29
8,8,8,168,1,1,1,1,1,4,1,4,21,1,1,0.44,0.296,86.030506,25
8,8,8,168,1,1,1,1,1,4,1,8,1,1,1,1.79,1.56,453.404018,56
8,8,8,168,1,1,1,1,1,4,1,8,3,1,1,0.826,0.661,192.11542,34
8,8,8,168,1,1,1,1,1,4,1,8,7,1,1,0.572,0.42,122.070312,27
8,8,8,168,1,1,1,1,1,4,1,8,21,1,1,0.435,0.293,85.158575,24
8,8,8,168,1,1,1,1,1,4,2,1,1,1,1,2.12,1.89,549.316406,81
8,8,8,168,1,1,1,1,1,4,2,1,3,1,1,0.901,0.733,213.04176,41
8,8,8,168,1,1,1,1,1,4,2,1,7,1,1,0.606,0.457,132.824126,31
8,8,8,168,1,1,1,1,1,4,2,1,21,1,1,0.447,0.305,88.646298,26
8,8,8,168,1,1,1,1,1,4,2,2,1,1,1,1.82,1.6,465.029762,63
8,8,8,168,1,1,1,1,1,4,2,2,3,1,1,0.854,0.688,199.962798,36
8,8,8,168,1,1,1,1,1,4,2,2,7,1,1,0.586,0.436,126.72061,28
8,8,8,168,1,1,1,1,1,4,2,2,21,1,1,0.442,0.294,85.449219,25
8,8,8,168,1,1,1,1,1,4,2,4,1,1,1,1.75,1.52,441.778274,54
8,8,8,168,1,1,1,1,1,4,2,4,3,1,1,0.827,0.66,191.824777,33
8,8,8,168,1,1,1,1,1,4,2,4,7,1,1,0.568,0.417,121.198382,27
8,8,8,168,1,1,1,1,1,4,2,4,21,1,1,0.431,0.29,84.286644,24
8,8,8,168,1,1,1,1,1,4,2,8,1,1,1,1.68,1.44,418.526786,50
8,8,8,168,1,1,1,1,1,4,2,8,3,1,1,0.795,0.627,182.233538,32
8,8,8,168,1,1,1,1,1,4,2,8,7,1,1,0.554,0.403,117.129371,27
8,8,8,168,1,1,1,1,1,4,2,8,21,1,1,0.426,0.285,82.833426,24
8,8,8,168,1,1,1,1,1,4,4,1,1,1,1,1.89,1.67,485.374814,64
8,8,8,168,1,1,1,1,1,4,4,1,3,1,1,0.878,0.713,207.228888,36
8,8,8,168,1,1,1,1,1,4,4,1,7,1,1,0.627,0.467,135.730562,29
8,8,8,168,1,1,1,1,1,4,4,1,21,1,1,0.44,0.299,86.902437,25
8,8,8,168,1,1,1,1,1,4,4,2,1,1,1,1.75,1.52,441.778274,54
8,8,8,168,1,1,1,1,1,4,4,2,3,1,1,0.833,0.667,193.859282,33
8,8,8,168,1,1,1,1,1,4,4,2,7,1,1,0.568,0.418,121.489025,27
8,8,8,168,1,1,1,1,1,4,4,2,21,1,1,0.434,0.293,85.158575,24
8,8,8,168,1,1,1,1,1,4,4,4,1,1,1,1.71,1.46,424.339658,50
